Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
boya-bym1-microphone-with-20ft-audio-cable-black,BOYA BYM1 Microphone With 20Ft. Audio Cable (Black),"<h3 data-end=""202"" data-start=""134"">Product Title:</h3>
<h4 data-end=""202"" data-start=""134"">BOYA BY-M1 Lavalier Microphone with 20Ft Audio Cable (Black)</h4>
<hr>
<h3>Product description:</h3>
<p data-end=""639"" data-start=""204"">The <strong data-end=""222"" data-start=""208"">BOYA BY-M1</strong> is a professional-grade omnidirectional lavalier microphone designed for crystal-clear audio recording. Equipped with a <strong data-end=""373"" data-start=""343"">20ft (6m) long audio cable</strong>, it offers flexibility and convenience for creators, educators, journalists, and professionals. Whether you’re shooting videos, recording podcasts, conducting interviews, or streaming online, the BY-M1 ensures superior sound quality with minimal background noise.</p>
<hr data-end=""644"" data-start=""641"">
<h2 data-end=""667"" data-start=""646""><strong data-end=""665"" data-start=""649"">Key Features:</strong></h2>
<h3 style=""padding-left: 40px;"" data-end=""278"" data-start=""235"">🎤 <strong data-end=""276"" data-start=""242"">Omnidirectional Pickup Pattern</strong>
</h3>
<p style=""padding-left: 40px;"" data-end=""600"" data-start=""279"">The BOYA BY-M1 is designed with an <strong data-end=""351"" data-start=""314"">omnidirectional condenser capsule</strong> that picks up sound equally from all directions. This ensures <strong data-end=""460"" data-start=""414"">natural, balanced, and crystal-clear audio</strong> without needing to stay directly in front of the microphone — perfect for <strong data-end=""598"" data-start=""535"">interviews, video production, online classes, and vlogging.<img width=""100%"" alt="""" src=""https://cdn.shopify.com/s/files/1/0660/2712/6968/files/boyah_m1_description_1.png?v=1758269976""></strong></p>
<h3 style=""padding-left: 40px;"" data-end=""636"" data-start=""602"">🔌 <strong data-end=""634"" data-start=""609"">20Ft Extra-Long Cable</strong>
</h3>
<p style=""padding-left: 40px;"" data-end=""915"" data-start=""637"">Equipped with a <strong data-end=""683"" data-start=""653"">6-meter (20ft) audio cable</strong>, this microphone provides maximum flexibility for creators. Whether recording a presentation, filming outdoors, or conducting interviews, the extended cable allows freedom of movement while maintaining professional sound quality.</p>
<h3 style=""padding-left: 40px;"" data-end=""959"" data-start=""917"">🔇 <strong data-end=""957"" data-start=""924"">Noise Cancellation Technology</strong>
</h3>
<p style=""padding-left: 40px;"" data-end=""1210"" data-start=""960"">The inbuilt <strong data-end=""998"" data-start=""972"">noise-reduction system</strong> minimizes unwanted background sounds such as wind, traffic, or room noise. This ensures <strong data-end=""1117"" data-start=""1087"">professional-grade clarity</strong> in every recording, making it suitable for <strong data-end=""1208"" data-start=""1161"">podcasts, conferences, or online streaming.</strong></p>
<h3 style=""padding-left: 40px;"" data-end=""1248"" data-start=""1212"">📱 <strong data-end=""1246"" data-start=""1219"">Universal Compatibility</strong>
</h3>
<p style=""padding-left: 40px;"" data-end=""1538"" data-start=""1249"">The BY-M1 works with a wide range of devices, including <strong data-end=""1378"" data-start=""1305"">smartphones, DSLRs, camcorders, laptops, tablets, and audio recorders</strong>. Its standard <strong data-end=""1407"" data-start=""1393"">3.5mm jack</strong> ensures seamless connectivity, while the included <strong data-end=""1474"" data-start=""1458"">1/4"" adapter</strong> makes it compatible with even more professional audio setups.<img width=""100%"" alt="""" src=""https://cdn.shopify.com/s/files/1/0660/2712/6968/files/boyah_m1_description_2.png?v=1758269975""></p>
<h3 style=""padding-left: 40px;"" data-end=""1586"" data-start=""1540"">📎 <strong data-end=""1584"" data-start=""1547"">Clip-On Design for Hands-Free Use</strong>
</h3>
<p style=""padding-left: 40px;"" data-end=""1848"" data-start=""1587"">The sturdy <strong data-end=""1615"" data-start=""1598"">clothing clip</strong> makes it easy to attach the mic to your shirt, tie, or collar, allowing hands-free recording. This feature is especially useful for <strong data-end=""1806"" data-start=""1748"">educators, journalists, YouTubers, and live presenters</strong> who need to move freely while speaking.</p>
<h3 style=""padding-left: 40px;"" data-end=""1885"" data-start=""1850"">🔋 <strong data-end=""1883"" data-start=""1857"">Battery Powered Option</strong>
</h3>
<p style=""padding-left: 40px;"" data-end=""2112"" data-start=""1886"">The microphone includes a <strong data-end=""1928"" data-start=""1912"">LR44 battery</strong>, which can be switched on when connecting to cameras or other audio devices that don’t provide power. This ensures <strong data-end=""2081"" data-start=""2044"">stable and consistent performance</strong> for long recording sessions.</p>
<h3 style=""padding-left: 40px;"" data-end=""2154"" data-start=""2114"">🎒 <strong data-end=""2152"" data-start=""2121"">Compact &amp; Lightweight Build</strong>
</h3>
<p style=""padding-left: 40px;"" data-end=""2371"" data-start=""2155"">Weighing just a few grams, the BOYA BY-M1 is extremely <strong data-end=""2242"" data-start=""2210"">portable and travel-friendly</strong>. Its compact size makes it easy to carry in your bag or pocket, ideal for <strong data-end=""2369"" data-start=""2317"">creators, professionals, and students on the go.<img width=""100%"" alt="""" src=""https://cdn.shopify.com/s/files/1/0660/2712/6968/files/boyah_m1_description_3.png?v=1758269976""></strong></p>
<hr style=""padding-left: 40px;"" data-end=""1820"" data-start=""1817"">
<h2 data-end=""1868"" data-start=""1822""><strong data-end=""1866"" data-start=""1825"">Why Choose the BOYA BY-M1 Microphone?</strong></h2>
<p style=""padding-left: 40px;"" data-end=""2366"" data-start=""1870"">✔ <strong data-end=""1902"" data-start=""1872"">Professional Audio Quality</strong> – Achieve studio-like sound recording without investing in expensive equipment.<br data-end=""1985"" data-start=""1982"">✔ <strong data-end=""2017"" data-start=""1987"">Extra-Long Cable Advantage</strong> – Unlike standard mics, its 20ft cable allows you to record comfortably at a distance.<br data-end=""2107"" data-start=""2104"">✔ <strong data-end=""2135"" data-start=""2109"">Versatile Applications</strong> – Ideal for <strong data-end=""2245"" data-start=""2148"">YouTube videos, podcasts, Zoom meetings, teaching, interviews, public speaking, and vlogging.</strong><br data-end=""2248"" data-start=""2245"">✔ <strong data-end=""2275"" data-start=""2250"">Affordable &amp; Reliable</strong> – A budget-friendly yet professional solution trusted by millions of creators worldwide.</p>
<hr data-end=""2371"" data-start=""2368"">
<h2 data-end=""2397"" data-start=""2373""><strong data-end=""2395"" data-start=""2376"">Product Details</strong></h2>
<ul data-end=""2808"" data-start=""2399"">
<li data-end=""2418"" data-start=""2399"">
<p data-end=""2418"" data-start=""2401""><strong data-end=""2411"" data-start=""2401"">Brand:</strong> BOYA</p>
</li>
<li data-end=""2439"" data-start=""2419"">
<p data-end=""2439"" data-start=""2421""><strong data-end=""2431"" data-start=""2421"">Model:</strong> BY-M1</p>
</li>
<li data-end=""2489"" data-start=""2440"">
<p data-end=""2489"" data-start=""2442""><strong data-end=""2451"" data-start=""2442"">Type:</strong> Omnidirectional Lavalier Microphone</p>
</li>
<li data-end=""2527"" data-start=""2490"">
<p data-end=""2527"" data-start=""2492""><strong data-end=""2509"" data-start=""2492"">Cable Length:</strong> 20ft / 6 meters</p>
</li>
<li data-end=""2572"" data-start=""2528"">
<p data-end=""2572"" data-start=""2530""><strong data-end=""2544"" data-start=""2530"">Connector:</strong> 3.5mm Jack + 1/4"" Adapter</p>
</li>
<li data-end=""2618"" data-start=""2573"">
<p data-end=""2618"" data-start=""2575""><strong data-end=""2592"" data-start=""2575"">Power Source:</strong> LR44 battery (included)</p>
</li>
<li data-end=""2698"" data-start=""2619"">
<p data-end=""2698"" data-start=""2621""><strong data-end=""2639"" data-start=""2621"">Compatibility:</strong> Smartphones, DSLRs, Camcorders, Laptops, Audio Recorders</p>
</li>
<li data-end=""2719"" data-start=""2699"">
<p data-end=""2719"" data-start=""2701""><strong data-end=""2711"" data-start=""2701"">Color:</strong> Black</p>
</li>
<li data-end=""2808"" data-start=""2720"">
<p data-end=""2808"" data-start=""2722""><strong data-end=""2747"" data-start=""2722"">Included Accessories:</strong> Clothing Clip, Foam Windshield, LR44 Battery, 1/4"" Adapter</p>
</li>
</ul>
<hr data-end=""2813"" data-start=""2810"">
<p data-end=""3074"" data-start=""2815"">✨ With its <strong data-end=""2897"" data-start=""2826"">professional sound quality, long cable, and universal compatibility</strong>, the <strong data-end=""2937"" data-start=""2903"">BOYA BY-M1 Lavalier Microphone</strong> is the perfect choice for content creators, educators, and professionals who demand superior audio performance at an affordable price.</p>",My Store,,,Mic,TRUE,Title,Default Title,,,,,BY-M1-MP,0,,0,deny,manual,499.00,799.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0660/2712/6968/files/boya-mic-1.jpg?v=1713003310,1,,,,,,g,,,,,active
boya-bym1-microphone-with-20ft-audio-cable-black,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/2712/6968/files/boya-mic-3-600x600.jpg?v=1758270054,2,,,,,,,,,,,
boya-bym1-microphone-with-20ft-audio-cable-black,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/2712/6968/files/boyeh_m1_3.jpg?v=1758270054,3,,,,,,,,,,,
boya-bym1-microphone-with-20ft-audio-cable-black,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/2712/6968/files/boyeh_m1_1.jpg?v=1758270054,4,,,,,,,,,,,
boya-bym1-microphone-with-20ft-audio-cable-black,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/2712/6968/files/boyeh_m1_2.jpg?v=1758270054,5,,,,,,,,,,,
boya-bym1-microphone-with-20ft-audio-cable-black,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/2712/6968/files/boya-mic-2.jpg?v=1758270054,6,,,,,,,,,,,
mobile-holder-or-pouch-bag-for-scooters-bikes,Mobile Holder Or Pouch-Bag for Scooters,"<h2 data-start=""209"" data-end=""285"">🏍️ Mobile Holder / Pouch-Bag for Scooters &amp; Bikes | Waterproof &amp; Secure</h2>
<hr>
<p><strong>Product description:</strong></p>
<p data-start=""287"" data-end=""742"">Ride smarter and safer with the <strong data-start=""319"" data-end=""371"">Mobile Holder &amp; Pouch-Bag for Scooters and Bikes</strong>, designed to keep your phone secure, visible, and protected while on the move. Built with a <strong data-start=""464"" data-end=""517"">waterproof, dustproof, and shock-resistant design</strong>, this pouch ensures your device stays safe in all weather conditions. Whether you’re navigating maps, answering calls on hands-free, or listening to music, this mobile holder makes your ride more convenient and worry-free.</p>
<hr data-start=""744"" data-end=""747"">
<h2 data-start=""749"" data-end=""769"">🔑 Key Features:</h2>
<h3 style=""padding-left: 40px;"" data-end=""240"" data-start=""209"">✅ Universal Compatibility</h3>
<p style=""padding-left: 40px;"" data-end=""479"" data-start=""241"">Designed to fit <strong data-end=""317"" data-start=""257"">most smartphones, GPS devices, and even slim power banks</strong>, this pouch-bag works perfectly with both <strong data-end=""389"" data-start=""360"">Android and iPhone models</strong>. No matter the device, it keeps your screen accessible and secure throughout your ride.<img src=""https://cdn.shopify.com/s/files/1/0660/2712/6968/files/Mobile_Holder_Pouch-Bag_description_1.jpg?v=1758626615"" alt="""" width=""100%""></p>
<h3 style=""padding-left: 40px;"" data-end=""522"" data-start=""481"">✅ Waterproof &amp; Dustproof Protection</h3>
<p style=""padding-left: 40px;"" data-end=""784"" data-start=""523"">Built with <strong data-end=""566"" data-start=""534"">premium PU and TPU materials</strong>, this pouch provides reliable <strong data-end=""623"" data-start=""597"">all-weather protection</strong>. Whether you’re riding in light rain, passing through dusty roads, or facing daily wear and tear, your phone stays protected against splashes, dust, and dirt.<img src=""https://cdn.shopify.com/s/files/1/0660/2712/6968/files/Mobile_Holder_Pouch-Bag_description_2.jpg?v=1758626614"" alt="""" width=""100%""></p>
<h3 style=""padding-left: 40px;"" data-end=""822"" data-start=""786"">✅ Clear Touch-Sensitive Screen</h3>
<p style=""padding-left: 40px;"" data-end=""1066"" data-start=""823"">The <strong data-end=""854"" data-start=""827"">transparent front cover</strong> is fully <strong data-end=""890"" data-start=""864"">touchscreen compatible</strong>, allowing you to operate your phone without removing it from the case. Use maps, answer calls, control music, or check notifications safely and conveniently while on the go.</p>
<h3 style=""padding-left: 40px;"" data-end=""1098"" data-start=""1068"">✅ Secure Handlebar Mount</h3>
<p style=""padding-left: 40px;"" data-end=""1329"" data-start=""1099"">Equipped with a <strong data-end=""1156"" data-start=""1115"">sturdy and adjustable mounting system</strong>, the pouch attaches firmly to your bike or scooter handlebar. Even on <strong data-end=""1252"" data-start=""1227"">bumpy or uneven roads</strong>, it stays stable and vibration-free, keeping your phone safe at all times.<img src=""https://cdn.shopify.com/s/files/1/0660/2712/6968/files/Mobile_Holder_Pouch-Bag_description_3.jpg?v=1758626615"" alt="""" width=""100%""></p>
<h3 style=""padding-left: 40px;"" data-end=""1358"" data-start=""1331"">✅ Extra Storage Space</h3>
<p style=""padding-left: 40px;"" data-end=""1591"" data-start=""1359"">More than just a mobile holder, this pouch also features <strong data-end=""1438"" data-start=""1416"">extra compartments</strong> for small essentials like keys, cards, cash, or earphones. It saves you the hassle of carrying an additional pouch, making your rides more convenient.</p>
<hr data-start=""1754"" data-end=""1757"">
<h2 data-start=""1759"" data-end=""1809"">💡 Why Choose This Mobile Holder / Pouch-Bag?</h2>
<ul data-start=""1811"" data-end=""2233"">
<li data-start=""1811"" data-end=""1908"">
<p data-start=""1813"" data-end=""1908""><strong data-start=""1813"" data-end=""1842"">Hands-Free &amp; Safer Riding</strong> – Navigate, answer calls, or control music without distraction.</p>
</li>
<li data-start=""1909"" data-end=""1989"">
<p data-start=""1911"" data-end=""1989""><strong data-start=""1911"" data-end=""1937"">All-Weather Protection</strong> – Built to withstand rain, dust, and rough rides.</p>
</li>
<li data-start=""1990"" data-end=""2070"">
<p data-start=""1992"" data-end=""2070""><strong data-start=""1992"" data-end=""2020"">Convenience with Storage</strong> – Carry small essentials along with your phone.</p>
</li>
<li data-start=""2071"" data-end=""2146"">
<p data-start=""2073"" data-end=""2146""><strong data-start=""2073"" data-end=""2090"">Universal Use</strong> – Works with almost all bikes, scooters, and e-bikes.</p>
</li>
<li data-start=""2147"" data-end=""2233"">
<p data-start=""2149"" data-end=""2233""><strong data-start=""2149"" data-end=""2171"">Durable &amp; Reliable</strong> – Made with premium materials for long-lasting performance.</p>
</li>
</ul>
<hr data-start=""2235"" data-end=""2238"">
<h2 data-start=""2240"" data-end=""2263"">📋 Product Details</h2>
<ul data-start=""2265"" data-end=""2769"">
<li data-start=""2265"" data-end=""2333"">
<p data-start=""2267"" data-end=""2333""><strong data-start=""2267"" data-end=""2283"">Product Name</strong>: Mobile Holder / Pouch-Bag for Scooters &amp; Bikes</p>
</li>
<li data-start=""2334"" data-end=""2413"">
<p data-start=""2336"" data-end=""2413""><strong data-start=""2336"" data-end=""2348"">Material</strong>: PU/TPU waterproof fabric with transparent touch screen window</p>
</li>
<li data-start=""2414"" data-end=""2477"">
<p data-start=""2416"" data-end=""2477""><strong data-start=""2416"" data-end=""2433"">Mounting Type</strong>: Adjustable handlebar clamp / strap mount</p>
</li>
<li data-start=""2478"" data-end=""2536"">
<p data-start=""2480"" data-end=""2536""><strong data-start=""2480"" data-end=""2497"">Compatibility</strong>: Fits smartphones up to 6.5–7 inches</p>
</li>
<li data-start=""2537"" data-end=""2610"">
<p data-start=""2539"" data-end=""2610""><strong data-start=""2539"" data-end=""2551"">Features</strong>: Waterproof, dustproof, shockproof, touchscreen friendly</p>
</li>
<li data-start=""2611"" data-end=""2667"">
<p data-start=""2613"" data-end=""2667""><strong data-start=""2613"" data-end=""2624"">Storage</strong>: Small pouch space for keys, cards, cash</p>
</li>
<li data-start=""2668"" data-end=""2715"">
<p data-start=""2670"" data-end=""2715""><strong data-start=""2670"" data-end=""2682"">Rotation</strong>: 360° adjustable viewing angle</p>
</li>
<li data-start=""2716"" data-end=""2769"">
<p data-start=""2718"" data-end=""2769""><strong data-start=""2718"" data-end=""2725"">Use</strong>: Scooters, motorcycles, bicycles, e-bikes</p>
</li>
</ul>
<hr data-start=""2771"" data-end=""2774"">
<p data-start=""2776"" data-end=""3013"">✨ With its <strong data-start=""2787"" data-end=""2852"">secure mounting, waterproof pouch, and touch-sensitive screen</strong>, this <strong data-start=""2859"" data-end=""2909"">Mobile Holder / Pouch-Bag for Scooters &amp; Bikes</strong> is the perfect riding companion—keeping your phone safe, accessible, and functional on every journey.</p>",My Store,,,,TRUE,Title,Default Title,,,,,MH-PB-SC,0,,0,deny,manual,399.00,699.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0660/2712/6968/files/mobile-holder-magnatic-5.jpg?v=1723868574,1,,,,,,g,,,,,active
mobile-holder-or-pouch-bag-for-scooters-bikes,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/2712/6968/files/mobile-handler-3.jpg?v=1723868574,2,,,,,,,,,,,
mobile-holder-or-pouch-bag-for-scooters-bikes,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/2712/6968/files/mobile-handler-2.jpg?v=1723868574,3,,,,,,,,,,,
mobile-holder-or-pouch-bag-for-scooters-bikes,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/2712/6968/files/mobile-handler-4.jpg?v=1713007259,4,,,,,,,,,,,
