Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
always-an-optimist-4-in-1-mist-translucent,Always an Optimist 4-In-1 Mist,"An ultra-fine, all-in-one face mist packed with skin-loving ingredients to hydrate, prime, set, and refresh for an uplifting glow-boost that lasts.",Rare Beauty,,Setting Spray,"Coverage: Light, Finish: Radiant, non-returnable, Shop Sephora, vb",TRUE,Title,Default Title,,,,,FGPAOM0001F3,140,,0,deny,manual,30.00,,TRUE,TRUE,840122901478,https://cdn.shopify.com/s/files/1/0314/1143/7703/products/4-IN-1-MIST-SKU-1_c9988cd0-b4d3-4fb7-b9e2-5e3a36bf5d05.jpg?v=1762200384,1,,,,,,g,,,,,active
always-an-optimist-4-in-1-mist-translucent,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0314/1143/7703/products/4-IN-1-MIST-SKU-2_08404cf1-d795-4dd9-b332-f2e6a463becd.jpg?v=1598637698,2,,,,,,,,,,,
blot-glow-blotting-paper-refill-100ct,Blot & Glow Blotting Paper Refill,<p>This 100-pack of blotting sheets gently absorbs excess oil while keeping makeup in place.</p>,Rare Beauty,,Finishing Powder,"Finish: Radiant, non-returnable, Shop Sephora, vb",TRUE,Title,Default Title,,,,,FGPBGR0002F1,14,,0,deny,manual,5.00,,TRUE,TRUE,840122901461,https://cdn.shopify.com/s/files/1/0314/1143/7703/products/BLOT-GLOW-PAPER-REFILL-SKU-1_d203bcd8-bd7a-43c9-8b53-3e9c1a0f050c.jpg?v=1762200385,1,,,,,,g,,,,,active
blot-glow-blotting-paper-refill-100ct,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0314/1143/7703/products/BLOT-GLOW-PAPER-REFILL-SKU-2_558bd9ba-3652-43a3-bca1-b62cc6334f23.jpg?v=1598638143,2,,,,,,,,,,,
liquid-touch-concealer-brush,Liquid Touch Concealer Brush,A concealer brush with uniquely sculpted bristles and a pointed tip for precise coverage.,Rare Beauty,,Brushes,"non-returnable, Shop Sephora",TRUE,Title,Default Title,,,,,FGPLCB0001F3,0,,0,deny,manual,20.00,,TRUE,TRUE,840122901423,https://cdn.shopify.com/s/files/1/0314/1143/7703/products/CONCEALER-BRUSH-SKU-1_ed7341ff-1a87-45fc-b6e2-1e2ffb08a96f.jpg?v=1762200387,1,,,,,,g,,,,,active
liquid-touch-concealer-brush,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0314/1143/7703/products/CONCEALER-BRUSH-SKU-2_61026cb1-95b7-4252-9e1b-ecae63f8e0ad.jpg?v=1598638607,2,,,,,,,,,,,
liquid-touch-foundation-brush,Liquid Touch Foundation Brush,"A foundation brush packed with soft, silky bristles that build, blend, and buff.",Rare Beauty,,Brushes,"non-returnable, Shop Sephora",TRUE,Title,Default Title,,,,,FGPLFB0001F3,0,,0,deny,manual,30.00,,TRUE,TRUE,840122901409,https://cdn.shopify.com/s/files/1/0314/1143/7703/products/FOUNDATION-BRUSH-SKU-1_b4e67510-3fda-4ca6-a72a-e7b955d788a8.jpg?v=1762200389,1,,,,,,g,,,,,active
liquid-touch-foundation-brush,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0314/1143/7703/products/FOUNDATION-BRUSH-SKU-3_b8058a6f-761c-44e6-aeba-025bc259f3ff.jpg?v=1598638646,2,,,,,,,,,,,
perfect-strokes-matte-liquid-liner-black,Perfect Strokes Matte Liquid Liner - Black,"An easy-glide, waterproof liquid eyeliner with up to 800 vegan bristles to lay down long-lasting, ultra-black lines with perfect precision every time.",Rare Beauty,,Eyeliner,"Finish: Matte, non-returnable, Shop Sephora",TRUE,Title,Default Title,,,,,FGPPSL0001F3,0,,0,deny,manual,22.00,,TRUE,TRUE,840122901485,https://cdn.shopify.com/s/files/1/0314/1143/7703/products/LIQUID_LINER-SKU-1.jpg?v=1762200389,1,,,,,,g,,,,,active
perfect-strokes-matte-liquid-liner-black,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0314/1143/7703/products/LIQUID_LINER_SKU-2.jpg?v=1630031335,2,,,,,,,,,,,
